mileage,make,model,fuel,gear,offerType,price,hp,year
25,ford,puma,Electric/Gasoline,unknown gear,Pre-registered,24190,155,2021
101500,lexus,ct 200h,Electric/Gasoline,Automatic,Used,12700,136,2012
14425,renault,zoe,Electric,Automatic,Used,8880,92,2017
22020,renault,zoe,Electric,Automatic,Used,8890,92,2017
113500,toyota,auris,Electric/Gasoline,Automatic,Used,13999,99,2019
9000,renault,zoe,Electric,Automatic,Demonstration,14352,109,2019
35490,toyota,yaris,Electric/Gasoline,Automatic,Used,14490,75,2019
110056,toyota,yaris,Electric/Gasoline,Automatic,Used,7350,75,2013
36999,renault,zoe,Electric,Automatic,Used,7540,88,2014
11399,renault,zoe,Electric,Automatic,Used,7940,88,2015
41899,renault,zoe,Electric,Automatic,Used,7990,88,2015
49550,renault,zoe,Electric,Automatic,Used,7699,58,2016
17500,peugeot,ion,Electric,Automatic,Used,10450,48,2017
19000,renault,zoe,Electric,Automatic,Used,10990,92,2017
20406,renault,zoe,Electric,Automatic,Used,11480,92,2017
10460,toyota,corolla,Electric/Gasoline,Automatic,Used,24990,122,2020
2000,mazda,mx-30,Electric,Automatic,Demonstration,24999,110,2020
18209,mazda,cx-30,Electric/Gasoline,Manual,Employee's car,25229,179,2020
10,toyota,c-hr,Electric/Gasoline,Automatic,Used,25690,184,2020
2100,mini,cooper se,Electric,unknown gear,Used,26000,184,2020
50,renault,zoe,Electric,Automatic,Used,11940,58,2018
3100,smart,forfour,Electric,Automatic,Used,16850,82,2021
115486,toyota,auris,Electric/Gasoline,Automatic,Used,7580,99,2011
58181,nissan,leaf,Electric,Automatic,Used,9240,109,2013
52500,smart,fortwo,Electric,unknown gear,Used,9555,48,2014
11410,renault,zoe,Electric,Automatic,Used,7990,58,2016
5,fiat,500,Electric/Gasoline,Manual,Pre-registered,13685,69,2021
67701,toyota,yaris,Electric/Gasoline,Automatic,Used,11850,101,2016
3107,smart,forfour,Electric,Automatic,Used,9990,82,2017
2430,ford,puma,Electric/Gasoline,Manual,Employee's car,21980,125,2020
13795,ford,puma,Electric/Gasoline,Manual,Employee's car,22480,155,2020
15,fiat,500c,Electric/Gasoline,Manual,Pre-registered,15980,69,2021
30000,nissan,leaf,Electric,unknown gear,Used,11100,109,2012
9790,volkswagen,up!,Electric,Automatic,Used,12730,82,2013
24024,smart,fortwo,Electric,Automatic,Used,9777,82,2017
52800,smart,fortwo,Electric,Automatic,Used,7290,48,2015
40910,toyota,rav 4,Electric/Gasoline,Automatic,Used,26000,197,2017
43373,toyota,rav 4,Electric/Gasoline,Automatic,Used,24585,197,2018
38010,toyota,rav 4,Electric/Gasoline,Automatic,Used,25985,197,2018
9822,jaguar,i-pace,Electric,Automatic,Used,58450,400,2019
12000,land,rover range rover,Electric/Gasoline,Automatic,Used,116500,404,2019
8100,smart,forfour,Electric,unknown gear,Used,11800,82,2019
1500,mazda,cx-30,Electric/Gasoline,Manual,Demonstration,27890,186,2021
367000,toyota,auris,Electric/Gasoline,Automatic,Used,7300,99,2015
49000,toyota,yaris,Electric/Gasoline,Automatic,Used,13460,101,2018
3000,zhidou,d2s,Electric,Automatic,Demonstration,12500,24,2019
10669,volvo,s90,Electric/Gasoline,Automatic,Used,48490,303,2020
16951,volvo,v60,Electric/Gasoline,Automatic,Used,49770,390,2020
210,volvo,s90,Electric/Gasoline,Automatic,Used,49900,392,2020
14148,volvo,v60,Electric/Gasoline,Automatic,Used,49990,390,2020
9442,audi,q5,Electric/Gasoline,Automatic,Used,52650,299,2020
10,toyota,yaris,Electric/Gasoline,Automatic,Pre-registered,25660,116,2021
8,toyota,prius+,Electric/Gasoline,Automatic,Pre-registered,26460,136,2021
1500,hyundai,ioniq,Electric,Automatic,Demonstration,27790,136,2021
115000,lexus,gs 450h,Electric/Gasoline,Automatic,Used,13900,345,2011
143920,mercedes-benz,e 300,Electric/Diesel,Automatic,Used,14480,204,2013
24000,toyota,yaris,Electric/Gasoline,Automatic,Used,14850,75,2019
58200,renault,zoe,Electric,Automatic,Used,7998,58,2015
29999,renault,zoe,Electric,Automatic,Used,7900,88,2016
42500,kia,niro,Electric/Gasoline,Automatic,Used,18790,105,2017
125000,audi,q7,Electric/Diesel,Automatic,Used,46999,374,2018
22334,volkswagen,up!,Electric,Automatic,Used,11405,82,2014
36861,renault,zoe,Electric,Automatic,Used,12575,92,2018
10,suzuki,sx4 s-cross,Electric/Gasoline,Manual,Pre-registered,18990,129,2020
3990,mazda,mx-30,Electric,Automatic,Used,21900,145,2020
10,suzuki,swift,Electric/Gasoline,Automatic,Demonstration,16900,83,2021
10,renault,twingo,Electric,Automatic,Used,16975,82,2021
63000,honda,cr-z,Electric/Gasoline,Manual,Used,7800,114,2011
78000,nissan,leaf,Electric,unknown gear,Used,9500,109,2015
47000,volvo,xc60,Electric/Gasoline,Automatic,Used,46999,303,2019
17900,mercedes-benz,eqc 400,Electric,Automatic,Used,62950,408,2019
3666,hyundai,kona,Electric/Gasoline,Automatic,Used,21990,105,2020
97722,toyota,prius,Electric/Gasoline,Automatic,Used,10200,99,2011
111600,toyota,prius,Electric/Gasoline,Automatic,Used,10397,136,2011
71300,toyota,auris,Electric/Gasoline,Automatic,Used,12790,136,2013
289000,mercedes-benz,e 300,Electric/Diesel,Automatic,Used,12800,204,2014
8500,nissan,leaf,Electric,Automatic,Used,12950,109,2014
101003,toyota,auris,Electric/Gasoline,Automatic,Used,13980,136,2015
35950,toyota,yaris,Electric/Gasoline,Automatic,Used,12497,101,2016
27465,smart,forfour,Electric,Automatic,Used,10490,82,2018
13100,smart,forfour,Electric,Automatic,Used,10590,82,2019
139,renault,twingo,Electric,Automatic,Demonstration,15990,0,2021
83000,lexus,ct 200h,Electric/Gasoline,Automatic,Used,16990,136,2011
17593,renault,zoe,Electric,Automatic,Used,9995,92,2017
870,volkswagen,id.3,Electric,Automatic,Used,34400,204,2020
8450,volkswagen,id.3,Electric,Automatic,Used,34450,204,2020
1950,volkswagen,id.3,Electric,Automatic,Used,34550,204,2020
22167,toyota,rav 4,Electric/Gasoline,Automatic,Used,34990,178,2020
11300,lexus,is 300,Electric/Gasoline,Automatic,Used,35390,223,2020
41593,renault,zoe,Electric,Automatic,Used,6900,58,2014
48000,renault,zoe,Electric,unknown gear,Used,7400,92,2015
125343,mercedes-benz,unknown model,Electric/Gasoline,Automatic,Used,29990,211,2017
20459,volkswagen,up!,Electric,Automatic,Used,15975,83,2019
13680,toyota,yaris,Electric/Gasoline,Automatic,Used,15980,101,2019
12,hyundai,kona,Electric/Gasoline,Manual,Pre-registered,26770,141,2020
6000,opel,ampera,Electric,Automatic,Used,26950,204,2020
18399,toyota,corolla,Electric/Gasoline,Automatic,Employee's car,26979,184,2020
12,hyundai,kona,Electric/Gasoline,Manual,Pre-registered,26990,141,2020
10,hyundai,ioniq,Electric,Automatic,Demonstration,27350,120,2020
5,toyota,corolla,Electric/Gasoline,Automatic,Pre-registered,28165,184,2021
0,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,28200,150,2021
9,toyota,corolla,Electric/Gasoline,Automatic,Pre-registered,28775,184,2021
10,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,33999,230,2021
30560,toyota,c-hr,Electric/Gasoline,Automatic,Used,18960,122,2018
29653,toyota,c-hr,Electric/Gasoline,Automatic,Used,20960,122,2019
25355,volvo,v90,Electric/Gasoline,Automatic,Used,55980,303,2020
27500,volvo,v90,Electric/Gasoline,Automatic,Demonstration,57900,390,2020
20100,volvo,v90,Electric/Gasoline,Automatic,Demonstration,58900,390,2020
4,toyota,corolla,Electric/Gasoline,Automatic,Pre-registered,30660,179,2021
10,toyota,corolla,Electric/Gasoline,Automatic,Used,31460,179,2021
8,toyota,c-hr,Electric/Gasoline,Automatic,Pre-registered,31660,184,2021
10,toyota,camry,Electric/Gasoline,Automatic,Used,36960,218,2021
5900,audi,a3,Electric/Gasoline,Automatic,Demonstration,39949,150,2021
22165,volkswagen,up!,Electric,Automatic,Used,12990,82,2015
18800,peugeot,partner,Electric,Automatic,Used,10490,67,2016
10347,smart,fortwo,Electric,Automatic,Used,14990,82,2019
32000,smart,fortwo,Electric,unknown gear,Used,8200,48,2015
33200,renault,zoe,Electric,Automatic,Used,7995,58,2016
13000,renault,zoe,Electric,Automatic,Used,11990,92,2018
39980,toyota,auris,Electric/Gasoline,Automatic,Used,16700,99,2018
7543,lexus,ux 250h,Electric/Gasoline,Automatic,Employee's car,31980,184,2020
5,renault,captur,Electric/Gasoline,Automatic,Used,32990,91,2020
123500,toyota,auris,Electric/Gasoline,Automatic,Used,10850,99,2013
98600,volkswagen,jetta,Electric/Gasoline,Automatic,Used,10900,150,2013
45565,toyota,yaris,Electric/Gasoline,Automatic,Used,11980,101,2015
41600,toyota,yaris,Electric/Gasoline,Automatic,Used,11499,75,2016
4600,jeep,renegade,Electric/Gasoline,Automatic,Used,32990,241,2020
990,seat,leon,Electric/Gasoline,Automatic,Demonstration,33900,204,2020
3000,hyundai,i20,Electric/Gasoline,Manual,Demonstration,17390,101,2021
6000,toyota,rav 4,Electric/Gasoline,Automatic,Demonstration,34980,218,2020
366,fiat,500,Electric/Gasoline,Manual,Demonstration,14485,69,2021
96349,lexus,ct 200h,Electric/Gasoline,Automatic,Used,10750,136,2011
65050,toyota,auris,Electric/Gasoline,Automatic,Used,12990,136,2013
59800,toyota,auris,Electric/Gasoline,Automatic,Used,13290,136,2013
41153,toyota,auris,Electric/Gasoline,Automatic,Used,14250,136,2015
21500,smart,fortwo,Electric,Automatic,Used,10999,82,2018
5500,ford,mondeo,Electric/Gasoline,Automatic,Used,23990,188,2020
1300,toyota,corolla,Electric/Gasoline,Automatic,Demonstration,24900,122,2020
67436,toyota,prius,Electric/Gasoline,Automatic,Used,12290,99,2012
129000,toyota,prius,Electric/Gasoline,Automatic,Used,12900,136,2015
3,fiat,500,Electric/Gasoline,Manual,Demonstration,13028,69,2021
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,13221,69,2021
50,fiat,500,Electric/Gasoline,Manual,Demonstration,13518,69,2021
118751,porsche,cayenne,Electric/Gasoline,Automatic,Used,53947,333,2017
23000,renault,zoe,Electric,Automatic,Used,7990,58,2017
634,toyota,yaris,Electric/Gasoline,Automatic,Used,16650,99,2019
61400,ford,mondeo,Electric/Gasoline,Automatic,Used,18650,188,2019
2324,toyota,c-hr,Electric/Gasoline,Automatic,Demonstration,34490,184,2021
1500,hyundai,tucson,Electric/Gasoline,Automatic,Demonstration,37450,265,2021
10,ford,tourneo custom,Electric/Diesel,Manual,Pre-registered,37999,185,2021
999,toyota,c-hr,Electric/Gasoline,Manual,Demonstration,38790,152,2021
17791,toyota,corolla,Electric/Gasoline,Automatic,Used,23960,179,2019
15000,volvo,xc60,Electric/Gasoline,Automatic,Demonstration,58920,392,2020
21500,volvo,xc60,Electric/Gasoline,Automatic,Demonstration,60950,392,2020
24765,volvo,v90,Electric/Gasoline,Automatic,Demonstration,61910,390,2020
9500,audi,q5,Electric/Gasoline,Automatic,Demonstration,62850,367,2020
10125,audi,a6,Electric/Gasoline,Automatic,Used,68670,367,2020
6000,audi,a6,Electric/Gasoline,Automatic,Demonstration,70950,367,2020
4900,skoda,enyaq,Electric,Automatic,Used,47350,204,2021
29361,bmw,i3,Electric,Automatic,Used,15950,170,2014
23134,smart,fortwo,Electric,Automatic,Used,10990,82,2018
15800,renault,zoe,Electric,Automatic,Used,15490,72,2019
6500,suzuki,ignis,Electric/Gasoline,Manual,Demonstration,15975,83,2020
1500,renault,twingo,Electric,Automatic,Demonstration,19890,82,2021
38000,tazzari,ev zero classic,Electric,unknown gear,Used,6500,20,2012
69659,peugeot,ion,Electric,unknown gear,Used,7999,67,2014
34281,renault,zoe,Electric,Automatic,Used,8230,88,2016
55000,renault,twizy,Electric,unknown gear,Used,3000,11,2017
50,toyota,rav 4,Electric/Gasoline,Automatic,Used,37100,178,2020
5000,opel,grandland x,Electric/Gasoline,Automatic,Used,37500,181,2020
100,fiat,panda,Electric/Gasoline,Manual,Demonstration,12990,69,2021
61690,toyota,auris,Electric/Gasoline,Automatic,Used,10450,136,2012
89921,peugeot,3008,Electric/Diesel,Automatic,Used,12450,163,2014
51800,toyota,yaris,Electric/Gasoline,Automatic,Used,11840,101,2016
9985,renault,zoe,Electric,Automatic,Demonstration,13575,109,2019
53,mazda,2,Electric/Gasoline,Manual,Demonstration,17750,90,2021
77031,toyota,yaris,Electric/Gasoline,Automatic,Used,10450,101,2015
91000,renault,zoe,Electric,Automatic,Used,8980,58,2017
40631,renault,zoe,Electric,Automatic,Used,8990,58,2017
22324,renault,zoe,Electric,Automatic,Used,9088,92,2017
19028,mercedes-benz,glc 200,Electric/Gasoline,Automatic,Used,42900,197,2020
13500,volvo,xc40,Electric/Gasoline,Automatic,Demonstration,46900,179,2020
1,fiat,500,Electric/Gasoline,Manual,Pre-registered,14750,71,2021
50000,toyota,yaris,Electric/Gasoline,Automatic,Used,12990,101,2016
7239,smart,fortwo,Electric,Automatic,Used,11990,82,2019
17500,ford,puma,Electric/Gasoline,Manual,Demonstration,25980,155,2020
15,fiat,500c,Electric/Gasoline,Manual,Pre-registered,16480,69,2021
2400,smart,forfour,Electric,Automatic,Demonstration,16490,82,2021
30123,volkswagen,up!,Electric,Automatic,Used,13223,82,2015
39758,toyota,auris,Electric/Gasoline,Automatic,Used,13340,136,2015
101527,toyota,auris,Electric/Gasoline,Automatic,Used,11550,99,2016
8000,renault,zoe,Electric,Automatic,Demonstration,10995,92,2018
28866,renault,zoe,Electric,Automatic,Used,11495,109,2019
1800,kia,sorento,Electric/Gasoline,Automatic,Demonstration,40390,179,2020
4100,volkswagen,id.3,Electric,Automatic,Demonstration,41450,204,2020
11500,volkswagen,passat variant,Electric/Gasoline,Automatic,Used,41600,156,2020
2,fiat,500,Electric/Gasoline,Manual,Demonstration,13619,69,2021
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,13790,69,2021
19153,renault,zoe,Electric,Automatic,Used,7790,58,2015
56000,porsche,panamera,Electric/Gasoline,Automatic,Used,91500,462,2018
79000,porsche,cayenne,Electric/Gasoline,Automatic,Used,93500,340,2018
5000,hyundai,ioniq,Electric,Automatic,Used,28790,136,2020
15,hyundai,kona,Electric,Automatic,Demonstration,28850,136,2020
10,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,28850,105,2020
7661,audi,a3,Electric/Gasoline,Automatic,Used,29229,204,2020
7550,tesla,model 3,Electric,Automatic,Used,40950,325,2021
10,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,42450,265,2021
5000,volkswagen,tiguan,Electric/Gasoline,Automatic,Demonstration,43870,150,2021
50,hyundai,santa fe,Electric/Gasoline,Automatic,Pre-registered,48990,265,2021
31940,renault,zoe,Electric,Automatic,Used,7950,58,2015
13900,renault,twizy,Electric,unknown gear,Used,5990,11,2017
29540,volkswagen,golf,Electric/Gasoline,Automatic,Used,26879,204,2018
35978,hyundai,kona,Electric,Automatic,Used,27990,204,2018
14961,audi,q7,Electric/Gasoline,Automatic,Used,77770,381,2020
14999,audi,a8,Electric/Gasoline,Automatic,Used,79660,449,2020
1500,renault,clio,Electric/Gasoline,Automatic,Demonstration,19980,140,2021
42955,renault,kangoo z.e.,Electric,Automatic,Used,8490,60,2014
37799,renault,zoe,Electric,Automatic,Used,8340,88,2016
50230,renault,zoe,Electric,Automatic,Used,8398,58,2016
9950,bmw,i8,Electric/Gasoline,Automatic,Used,113890,374,2018
5410,lexus,unknown model,Electric/Gasoline,Automatic,Used,39950,197,2020
4685,seat,leon,Electric/Gasoline,Automatic,Used,41400,245,2020
50,toyota,rav 4,Electric/Gasoline,Automatic,Pre-registered,43490,222,2020
1926,mitsubishi,outlander,Electric/Gasoline,Automatic,Demonstration,44102,135,2020
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,13490,69,2021
132130,toyota,prius,Electric/Gasoline,Automatic,Used,8990,99,2011
94000,toyota,auris,Electric/Gasoline,Automatic,Used,11850,99,2013
108000,toyota,auris,Electric/Gasoline,Automatic,Used,11900,136,2013
79000,toyota,auris,Electric/Gasoline,Automatic,Used,11950,136,2013
54800,toyota,yaris,Electric/Gasoline,Automatic,Used,12850,75,2015
14577,renault,zoe,Electric,Manual,Demonstration,10660,92,2017
10433,smart,forfour,Electric,Automatic,Used,13790,82,2019
8954,renault,zoe,Electric,Automatic,Used,12775,92,2020
90000,toyota,prius,Electric/Gasoline,Automatic,Used,10385,99,2012
34852,smart,forfour,Electric,Automatic,Used,9440,56,2018
14000,mercedes-benz,e 300,Electric/Diesel,Automatic,Used,59890,194,2020
4904,audi,e-tron,Electric,Automatic,Employee's car,59980,215,2020
97987,tesla,model s,Electric,Automatic,Used,29199,306,2013
36562,audi,a3,Electric/Gasoline,Automatic,Used,18445,150,2014
31690,volkswagen,up!,Electric,Automatic,Used,9940,82,2015
20500,volkswagen,golf,Electric,Automatic,Used,17440,116,2017
12000,fiat,500,Electric/Gasoline,Manual,Demonstration,13950,69,2020
3800,seat,mii,Electric,Automatic,Used,15840,83,2020
20,skoda,octavia,Electric/Gasoline,Automatic,Pre-registered,27980,150,2021
10,mazda,cx-30,Electric/Gasoline,Automatic,Demonstration,29900,186,2021
111000,peugeot,3008,Electric/Diesel,Automatic,Used,7940,163,2012
33200,volkswagen,golf,Electric,Automatic,Used,19666,136,2017
11310,volkswagen,golf,Electric,Automatic,Used,20980,136,2019
85990,toyota,prius,Electric/Gasoline,Automatic,Used,11590,99,2011
153969,audi,a6,Electric/Gasoline,Automatic,Used,14780,211,2012
56210,toyota,prius,Electric/Gasoline,Automatic,Used,15450,99,2014
42112,smart,fortwo,Electric,Automatic,Used,10779,82,2018
11845,renault,zoe,Electric,Automatic,Used,10990,72,2019
10,fiat,500c,Electric/Gasoline,Manual,Pre-registered,13475,69,2021
5,seat,mii,Electric,Automatic,Demonstration,14290,83,2021
1623,fiat,500,Electric/Gasoline,Manual,Used,15148,69,2021
71995,lexus,is 300,Electric/Gasoline,Automatic,Used,20470,181,2013
36867,renault,zoe,Electric,Automatic,Used,9250,58,2014
80499,audi,a3,Electric/Gasoline,Automatic,Used,15630,150,2015
23000,smart,forfour,Electric,Manual,Used,12888,82,2018
53500,renault,zoe,Electric,Automatic,Used,9990,58,2019
150,others,unknown model,Electric,Automatic,Employee's car,4490,0,2020
2797,suzuki,swift,Electric/Gasoline,Manual,Demonstration,14455,83,2020
1111,seat,mii,Electric,Automatic,Demonstration,17280,83,2020
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,12990,69,2021
40,kia,niro,Electric/Gasoline,Automatic,Demonstration,29700,141,2021
10,kia,sorento,Electric/Gasoline,Automatic,Pre-registered,49500,265,2021
66500,peugeot,ion,Electric,Automatic,Used,6450,48,2012
37250,toyota,auris,Electric/Gasoline,Automatic,Used,13950,99,2013
35501,renault,zoe,Electric,Manual,Used,7560,58,2014
106900,toyota,yaris,Electric/Gasoline,Automatic,Used,9950,101,2015
65000,bmw,i3,Electric,Automatic,Used,14999,102,2015
58500,toyota,yaris,Electric/Gasoline,Automatic,Used,11990,101,2016
12400,volkswagen,up!,Electric,Automatic,Used,12960,82,2017
25433,toyota,yaris,Electric/Gasoline,Automatic,Used,13990,101,2018
1005,renault,twizy,Electric,Automatic,Demonstration,10070,11,2020
20,toyota,yaris,Electric/Gasoline,Automatic,Pre-registered,18990,116,2021
20,subaru,xv,Electric/Gasoline,Automatic,Pre-registered,29990,150,2021
20,subaru,forester,Electric/Gasoline,Automatic,Pre-registered,32990,150,2021
20,ford,mustang,Electric,Manual,Pre-registered,58440,294,2021
15331,renault,kangoo z.e.,Electric,Automatic,Used,8990,60,2014
28844,renault,zoe,Electric,Automatic,Used,7900,92,2014
51201,renault,kangoo z.e.,Electric,Automatic,Used,8760,60,2014
51355,renault,twizy,Electric,Automatic,Used,4990,5,2017
38637,renault,kangoo z.e.,Electric,Automatic,Used,9990,60,2017
42000,toyota,yaris,Electric/Gasoline,Automatic,Used,12190,75,2017
6900,renault,zoe,Electric,Automatic,Demonstration,11080,58,2019
8840,renault,zoe,Electric,Automatic,Demonstration,11680,72,2019
12328,renault,zoe,Electric,Automatic,Demonstration,13880,69,2019
9837,renault,zoe,Electric,Automatic,Used,15890,72,2019
100,renault,zoe,Electric,Automatic,Pre-registered,14180,58,2020
100,renault,zoe,Electric,Automatic,Pre-registered,14480,58,2020
100,renault,zoe,Electric,Automatic,Pre-registered,15080,72,2020
10,hyundai,i30,Electric/Gasoline,Manual,Pre-registered,18590,120,2021
100,renault,clio,Electric/Gasoline,Automatic,Pre-registered,21380,91,2021
48500,nissan,leaf,Electric,Automatic,Used,14990,109,2015
11447,smart,fortwo,Electric,Automatic,Used,12470,82,2019
10,seat,leon,Electric/Gasoline,Automatic,Pre-registered,27037,150,2020
10,seat,leon,Electric/Gasoline,Automatic,Pre-registered,27368,150,2020
15,fiat,500c,Electric/Gasoline,Manual,Pre-registered,16780,69,2021
42800,bmw,i3,Electric,Automatic,Used,14550,102,2014
47610,opel,ampera,Electric,Automatic,Used,14600,151,2014
15500,nissan,e-nv200,Electric,Automatic,Used,13980,109,2015
35000,toyota,yaris,Electric/Gasoline,Automatic,Used,11900,75,2016
12500,renault,zoe,Electric,Automatic,Demonstration,11995,72,2019
29950,smart,forfour,Electric,Automatic,Used,12490,82,2019
4000,mercedes-benz,c 300,Electric/Diesel,Automatic,Demonstration,45890,194,2020
41500,renault,zoe,Electric,unknown gear,Used,7700,92,2016
65000,audi,a5,Electric/Gasoline,Automatic,Used,26990,252,2017
39000,porsche,panamera,Electric/Gasoline,Automatic,Used,102500,462,2018
8590,nissan,leaf,Electric,Automatic,Demonstration,22222,150,2019
8409,hyundai,kona,Electric,Automatic,Demonstration,29681,136,2020
1912,hyundai,ioniq,Electric,Automatic,Demonstration,30950,136,2020
2100,polestar,2,Electric,Automatic,Used,64950,408,2021
5000,audi,e-tron,Electric,Automatic,Demonstration,93875,408,2021
15000,porsche,panamera,Electric/Gasoline,Automatic,Demonstration,129750,560,2020
15000,porsche,panamera,Electric/Gasoline,Automatic,Demonstration,162900,680,2020
5600,smart,fortwo,Electric,unknown gear,Used,16499,82,2020
19584,volkswagen,up!,Electric,Automatic,Used,11480,82,2016
22114,toyota,yaris,Electric/Gasoline,Automatic,Used,16450,101,2019
10,ford,fiesta,Electric/Gasoline,Manual,Used,19990,125,2021
20,renault,zoe,Electric,Automatic,Pre-registered,19990,136,2021
75100,toyota,yaris,Electric/Gasoline,Automatic,Used,8300,75,2013
10000,renault,zoe,Electric,Automatic,Used,8500,58,2016
9133,bmw,330,Electric/Gasoline,Automatic,Demonstration,46950,292,2020
24997,bmw,530,Electric/Gasoline,Automatic,Employee's car,53320,252,2020
98850,toyota,auris,Electric/Gasoline,Automatic,Used,13150,136,2014
62239,volkswagen,up!,Electric,Automatic,Used,10977,82,2017
19260,smart,fortwo,Electric,Automatic,Used,13690,82,2018
7500,renault,zoe,Electric,Automatic,Demonstration,13960,58,2019
9495,smart,forfour,Electric,Automatic,Used,13990,82,2019
16500,smart,fortwo,Electric,Automatic,Used,9769,56,2017
1,fiat,500,Electric/Gasoline,Manual,Pre-registered,14950,69,2021
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,14980,69,2021
1,fiat,500,Electric/Gasoline,Manual,Pre-registered,14990,71,2021
54700,audi,a3,Electric/Gasoline,Automatic,Used,19990,204,2017
130000,lexus,gs 450h,Electric/Gasoline,Automatic,Used,25990,345,2012
11950,volkswagen,golf,Electric,Automatic,Used,21720,136,2019
9990,volkswagen,golf,Electric,Automatic,Used,21940,136,2019
86789,toyota,auris,Electric/Gasoline,Automatic,Used,11795,136,2014
15600,kia,soul,Electric,Automatic,Used,14980,110,2015
27566,renault,zoe,Electric,Automatic,Used,11990,58,2017
11867,renault,zoe,Electric,Automatic,Used,12990,58,2018
1376,fiat,500,Electric/Gasoline,Manual,Used,15298,69,2021
110000,lexus,ls 600,Electric/Gasoline,Automatic,Used,33990,445,2013
71099,tesla,model s,Electric,Automatic,Used,54450,772,2015
23888,porsche,panamera,Electric/Gasoline,Automatic,Used,62900,416,2015
5500,smart,fortwo,Electric,Automatic,Used,18888,82,2019
2280,volkswagen,unknown model,Electric,Automatic,Employee's car,17990,83,2020
10,suzuki,vitara,Electric/Gasoline,Manual,Pre-registered,19450,129,2020
5,suzuki,swift,Electric/Gasoline,Manual,Pre-registered,17475,129,2021
5,suzuki,swift,Electric/Gasoline,Manual,Pre-registered,17945,129,2021
5,suzuki,vitara,Electric/Gasoline,Manual,Pre-registered,19385,129,2021
27275,toyota,yaris,Electric/Gasoline,Automatic,Used,13290,75,2016
1000,opel,mokka,Electric,Automatic,Demonstration,31980,136,2021
12,opel,corsa,Electric,Automatic,Demonstration,36980,136,2021
1450,opel,corsa,Electric,Automatic,Demonstration,40048,136,2021
171089,mercedes-benz,300,Electric/Diesel,Automatic,Used,14500,204,2012
136850,toyota,auris,Electric/Gasoline,Automatic,Used,10960,136,2013
45100,smart,fortwo,Electric,unknown gear,Used,5249,48,2013
250000,volvo,v60,Electric/Diesel,Automatic,Used,11999,288,2015
77000,bmw,i3,Electric/Gasoline,Automatic,Used,16499,102,2016
77000,bmw,i3,Electric,Automatic,Used,16499,102,2016
30248,toyota,yaris,Electric/Gasoline,Automatic,Used,13890,101,2017
51700,nissan,leaf,Electric,Automatic,Used,13900,109,2017
92594,bmw,225,Electric/Gasoline,Automatic,Used,15860,136,2017
27000,kia,niro,Electric/Gasoline,Automatic,Used,15999,105,2018
49900,toyota,auris,Electric/Gasoline,Automatic,Used,16960,132,2018
1163,suzuki,ignis,Electric/Gasoline,Automatic,Employee's car,14999,83,2020
100,nissan,leaf,Electric,Automatic,Used,23490,150,2021
20,ford,puma,Electric/Gasoline,Manual,Pre-registered,25995,155,2020
34853,renault,kangoo z.e.,Electric,Automatic,Used,10990,60,2016
15127,renault,kangoo z.e.,Electric,Automatic,Used,15990,60,2019
9606,renault,zoe,Electric,Automatic,Used,16990,72,2019
3781,renault,clio,Electric/Gasoline,Automatic,Demonstration,16080,91,2020
18349,renault,zoe,Electric,Automatic,Used,16990,69,2020
9543,renault,kangoo z.e.,Electric,Automatic,Used,17890,60,2020
10,hyundai,tucson,Electric/Diesel,Automatic,Pre-registered,32990,136,2021
161300,renault,kangoo z.e.,Electric,Automatic,Used,4300,60,2012
12000,renault,twizy,Electric,unknown gear,Used,4950,11,2014
37549,volkswagen,golf,Electric/Gasoline,Automatic,Used,20490,150,2016
1500,nissan,leaf,Electric,Automatic,Used,22490,150,2020
10,hyundai,kona,Electric/Gasoline,Automatic,Pre-registered,23880,141,2020
100,hyundai,kona,Electric/Gasoline,Automatic,Pre-registered,24880,141,2020
1000,hyundai,ioniq,Electric,Automatic,Demonstration,46880,218,2021
10000,volkswagen,touareg,Electric/Gasoline,Automatic,Demonstration,84440,462,2021
29897,bmw,225,Electric/Gasoline,Automatic,Used,17490,224,2017
8800,smart,forfour,Electric,Automatic,Demonstration,11890,82,2018
21500,smart,fortwo,Electric,Automatic,Used,14480,56,2018
100,volkswagen,up!,Electric,Automatic,Used,15250,82,2018
16410,volkswagen,golf,Electric,Automatic,Employee's car,22870,136,2020
11860,volkswagen,golf,Electric,Automatic,Used,23740,136,2020
10,skoda,octavia,Electric/Gasoline,Automatic,Pre-registered,29690,150,2021
25,volkswagen,golf,Electric/Gasoline,Automatic,Pre-registered,29890,150,2021
7500,fisker,karma,Electric/Gasoline,Automatic,Used,69900,408,2012
44300,renault,twizy,Electric,unknown gear,Used,4600,11,2013
70095,toyota,auris,Electric/Gasoline,Automatic,Used,14777,136,2015
54895,kia,niro,Electric/Gasoline,Automatic,Used,16490,105,2016
